N,epsilon,transition_prob,discount_factor,global_phase_size,aggregate_phase_size,algorithm,time,iterations,total_updates,error,num_mega_states,t_sa_final,theoretical_bound,speedup_updates
10,0.0005,0.7,0.8,2,5,mega_state_agg,0.020423376001417637,37,1570,0.004981896643332817,30,25,0.005000000000000001,1.2101910828025477
10,0.0005,0.6,0.99,5,20,value_iteration,0.027384808752685785,32,3200,0.0,,,0.09999999999999991,1.4545454545454546
10,0.0005,0.6,0.99,5,20,mega_state_agg,0.03091899724677205,54,2200,0.07532901581793539,30,40,0.09999999999999991,1.4545454545454546
10,0.0005,0.6,0.99,2,10,value_iteration,0.028278901241719723,32,3200,0.0,,,0.09999999999999991,0.9580838323353293
10,0.0005,0.6,0.99,2,10,mega_state_agg,0.05886582983657718,97,3340,0.09440238602897821,30,80,0.09999999999999991,0.9580838323353293
10,0.0005,0.7,0.8,2,10,value_iteration,0.016368874814361334,19,1900,0.0,,,0.005000000000000001,0.811965811965812
10,0.0005,0.7,0.8,2,10,mega_state_agg,0.03484215401113033,73,2340,0.0036953432434829736,30,60,0.005000000000000001,0.811965811965812
10,0.0005,0.7,0.8,5,20,value_iteration,0.01676822593435645,19,1900,0.0,,,0.005000000000000001,0.9047619047619048
10,0.0005,0.7,0.8,5,20,mega_state_agg,0.030014913994818926,53,2100,0.003367137316951485,30,40,0.005000000000000001,0.9047619047619048
10,0.0005,0.7,0.85,2,5,value_iteration,0.01755285495892167,20,2000,0.0,,,0.006666666666666666,0.9950248756218906
10,0.0005,0.7,0.85,2,5,mega_state_agg,0.027957872953265905,47,2010,0.006369809311059349,30,33,0.006666666666666666,0.9950248756218906
10,0.0005,0.7,0.85,2,10,value_iteration,0.016506308689713478,20,2000,0.0,,,0.006666666666666666,0.746268656716418
10,0.0005,0.7,0.85,2,10,mega_state_agg,0.04075535060837865,82,2680,0.0065431187907778465,30,68,0.006666666666666666,0.746268656716418
10,0.0005,0.7,0.85,5,20,value_iteration,0.0175591460429132,20,2000,0.0,,,0.006666666666666666,0.9090909090909091
10,0.0005,0.7,0.85,5,20,mega_state_agg,0.029681415762752295,54,2200,0.0047354118887890095,30,40,0.006666666666666666,0.9090909090909091
10,0.0005,0.7,0.9,2,5,value_iteration,0.01985670207068324,22,2200,0.0,,,0.010000000000000002,1.0138248847926268
10,0.0005,0.7,0.9,2,5,mega_state_agg,0.033536921720951796,50,2170,0.009511714456346354,30,35,0.010000000000000002,1.0138248847926268
10,0.0005,0.7,0.9,2,10,value_iteration,0.01872173510491848,22,2200,0.0,,,0.010000000000000002,0.7482993197278912
10,0.0005,0.7,0.9,2,10,mega_state_agg,0.04610168281942606,86,2940,0.006602274337126346,30,70,0.010000000000000002,0.7482993197278912
